gene_symbol	hgnc_id	entrez_id	count
ADH1A	HGNC:249	Entrez:124	0
ADH1B	HGNC:250	Entrez:125	67
ADH1C	HGNC:251	Entrez:126	21
ADH4	HGNC:252	Entrez:127	0
ADH5	HGNC:253	Entrez:128	43
ADH5P2	HGNC:22976	Entrez:343296	0
ADH5P3	HGNC:22991	Entrez:100131810	0
ADH5P4	HGNC:21377	Entrez:642443	0
ADH5P5	HGNC:54523	Entrez:115945146	0
ADH6	HGNC:255	Entrez:130	31
ADH7	HGNC:256	Entrez:131	48
ADHFE1	HGNC:16354	Entrez:137872	0
ADI1	HGNC:30576	Entrez:55256	39
ADI1P1	HGNC:52339	Entrez:100130936	0
ADI1P2	HGNC:52340	Entrez:100288971	0
ADI1P3	HGNC:52341	Entrez:100288129	0
ADIG	HGNC:28606	Entrez:149685	0
ADIPINT	HGNC:56273	Entrez:125906382	0
ADIPOQ	HGNC:13633	Entrez:9370	41
ADIPOQ-AS1	HGNC:40648	Entrez:100874095	0
ADIPOR1	HGNC:24040	Entrez:51094	4
ADIPOR1P1	HGNC:44910	Entrez:645220	0
ADIPOR1P2	HGNC:44911	Entrez:390503	0
ADIPOR2	HGNC:24041	Entrez:79602	11
ADIRF	HGNC:24043	Entrez:10974	0
ADIRF-AS1	HGNC:45127	Entrez:100133190	0
ADISSP	HGNC:15873	Entrez:54976	0
ADK	HGNC:257	Entrez:132	0
ADM	HGNC:259	Entrez:133	0
ADM-DT	HGNC:55516	Entrez:105376544	0
ADM2	HGNC:28898	Entrez:79924	18
ADM5	HGNC:27293	Entrez:199800	0
ADNP	HGNC:15766	Entrez:23394	51
ADNP-AS1	HGNC:51227	Entrez:101927631	0
ADNP2	HGNC:23803	Entrez:22850	81
ADO	HGNC:23506	Entrez:84890	0
ADORA1	HGNC:262	Entrez:134	0
ADORA2A	HGNC:263	Entrez:135	0
ADORA2A-AS1	HGNC:37122	Entrez:646023	0
ADORA2B	HGNC:264	Entrez:136	0
ADORA2BP1	HGNC:265	Entrez:137	0
ADORA3	HGNC:268	Entrez:140	0
ADPGK	HGNC:25250	Entrez:83440	28
ADPGK-AS1	HGNC:44144	Entrez:100287559	0
ADPRH	HGNC:269	Entrez:141	29
ADPRHL1	HGNC:21303	Entrez:113622	41
ADPRM	HGNC:30925	Entrez:56985	0
ADPRS	HGNC:21304	Entrez:54936	0
ADRA1A	HGNC:277	Entrez:148	60
ADRA1B	HGNC:278	Entrez:147	9
ADRA1D	HGNC:280	Entrez:146	0
